anno,insegnamento,link,codice,settore,CFU,semetre,docente,propedeuticità
1,Algebra,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=1&id=ALG,ALG,,6,1,Ghione,
1,Analisi numerica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=1&id=AN,AN,,6,2,Di Fiore,
1,Calcolo delle probabilità,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=1&id=CP,CP,,6,2,Calzolari,
1,Informatica teorica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=1&id=IT,IT,,6,2,Varricchio,
1,Matematica computazionale,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=1&id=MC,MC,,6,2,Zellini,
1,Metodi algoritmici di approssimazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=1&id=MAA,MAA,,6,1,Clementi,
1,Metodi numerici per l'ottimizzazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=1&id=MN,MN,,6,2,Fanelli,
1,Progettazione di algoritmi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=1&id=PA,PA,,6,2,Rossi,
1,Sistemi concorrenti,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=1&id=SC,SC,,6,1,Campanile-Campanile,
2,Automi e linguaggi formali,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=1&id=ALF,ALF,,9,2,Varricchio,
2,Interazione uomo calcolatore,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=1&id=IUC,IUC,,9,2,Nardelli,
2,Laboratorio di sistemi distribuiti,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=1&id=LSD,LSD,,6,1,Vocca,
2,Sicurezza informatica e cooperazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=1&id=SIC,SIC,,12,1-2,Talamo,
2,Sistemi distribuiti,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=1&id=SD,SD,,6,1,Gambosi,
