anno,insegnamento,link,codice,settore,CFU,semetre,docente,propedeuticità
1,Algebra,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=ALG,ALG,,6,2,Piacentini Cattaneo,
1,Analisi numerica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=AN,AN,,6,1,Di Fiore,
1,Calcolo delle probabilità,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=CP,CP,,6,2,Calzolari-Calzolari,
1,Gestione aziendale e ricerca operativa,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=GARO,GARO,,6,2,Caramia,
1,Informatica teorica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=IT,IT,,6,1,Gambosi,
1,Informazione documentale,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=ID,ID,,6,1,Amati,
1,Introduzione ai processi aleatori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=IPA,IPA,,6,2,Marinucci,
1,Linguaggi e protocolli per sistemi cooperativi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=LPSC,LPSC,,9,1,Dimitri,
1,Matematica computazionale,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=MC,MC,,6,2,Zellini,
1,Metodi di verifica di sistemi complessi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=MVSC,MVSC,,6,1,Intrigila,
1,Metodi numerici per l'ottimizzazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=MN,MN,,6,2,Fanelli,
1,Probabilità e finanza,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=PF,PF,,6,2,Caramellino,
1,Progettazione di algoritmi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=PA,PA,,6,2,Clementi,
1,Sistemi concorrenti,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=SC,SC,,6,1,Campanile-Campanile,
1,Sistemi di agenti,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=SDA,SDA,,6,2,De Luca,
1,Statistica matematica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=SM,SM,,6,1,Scalia Tomba,
2,Crittografia,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=CR,CR,,6,1,Gasbarri,
2,Sicurezza dei sistemi informativi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=SSI,SSI,,9,1,Arcieri,
2,Sicurezza informatica e cooperazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=1&id=SIC,SIC,,12,1-2,Talamo,
